,player_name,event,event_type,event_date,score
580,chronomor,RTO,PVP-L,2020-05-31,0.2704
581,magesty,RTO,PVP-L,2020-05-31,0.8111
582,europachaos,RTO,PVP-L,2020-05-31,0.9926
583,vesticles,RTO,PVP-L,2020-05-31,0.5852
584,jainus,RTO,PVP-L,2020-05-31,1.0
585,morlock,RTO,PVP-L,2020-05-31,0.5926
586,marshall,RTO,PVP-L,2020-05-31,0.9852
587,bihotz,RTO,PVP-L,2020-05-31,0.4556
588,fatman,RTO,PVP-L,2020-05-31,0.8259
589,johnthebarn,RTO,PVP-L,2020-05-31,0.7556
590,pinkyellow1203,RTO,PVP-L,2020-05-31,0.6815
591,jimmysnuka,RTO,PVP-L,2020-05-31,0.9593
592,imwithstupid,RTO,PVP-L,2020-05-31,0.6222
593,tamiyo,RTO,PVP-L,2020-05-31,0.7444
594,skeletor,RTO,PVP-L,2020-05-31,0.3815
595,digger,RTO,PVP-L,2020-05-31,0.8259
596,feitonghofei,RTO,PVP-L,2020-05-31,0.0333
597,telanthar,RTO,PVP-L,2020-05-31,0.6556
598,mistercawck,RTO,PVP-L,2020-05-31,0.7148
599,guest,RTO,PVP-L,2020-05-31,0.9704
600,schmara,RTO,PVP-L,2020-05-31,0.0
601,decadentia,RTO,PVP-L,2020-05-31,0.0
602,jeffrey27,RTO,PVP-L,2020-05-31,0.0
603,multani,RTO,PVP-L,2020-05-31,0.0
604,muirthemne,RTO,PVP-L,2020-05-31,0.0
605,quiddajj,RTO,PVP-L,2020-05-31,0.0
606,kelsigrammar,RTO,PVP-L,2020-05-31,0.0
607,patricio,RTO,PVP-L,2020-05-31,0.0
608,ralpha,RTO,PVP-L,2020-05-31,0.0
609,skills,RTO,PVP-L,2020-05-31,0.0
620,caddam,RTO,PVP-L,2020-05-31,0.6111
621,burrito,RTO,PVP-L,2020-05-31,0.5593
